id,name,team,position,price,overall_status,description,expectedEndDate,return_gameweek,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,total_Pts
1747,Igor Drapiński,Piast Gliwice,DEF,1.8,EXP,,,,,,,,,,,,
2841,Yvan Ikia Dimi,Górnik Zabrze,MID,1.7,MAY,,,,,,,,,,,,
2939,Nik Prelec,Jagiellonia Białystok,FWD,2,NES,,,,,,,,,,,,
2456,Christopher Simon,Motor Lublin,MID,1.7,EXP,,,,,,,,,,,,
2909,Dominik Baumgartner,Cracovia,DEF,1.8,NES,,,,,,,,,,,,
423,Adrian Błąd,GKS Katowice,MID,1.7,NES,,,,,,,,,,,,
2016,Jakub Lewicki,Piast Gliwice,DEF,1.7,EXP,,,,,,,,,,,,
2450,Ivan Brkić,Legia Warszawa,GKP,1.8,NES,,,,,,,,,,,,
2908,Szymon Bartlewicz,GKS Katowice,MID,1.6,NES,,,,,,,,,,,,
2435,Zié Ouattara,Radomiak Radom,DEF,1.8,EXP,,,,,,,,,,,,
2930,Dieudonné Debohi,Raków Częstochowa,DEF,1.9,NES,,,,,,,,,,,,
2838,Dominik Czeremski,Raków Częstochowa,GKP,0.7,NES,,,,,,,,,,,,
2325,Erick Otieno,Raków Częstochowa,DEF,1.8,NES,,,,,,,,,,,,
2961,Nikodem Całko,Raków Częstochowa,DEF,0.7,NES,,,,,,,,,,,,
2932,Tarik Karić,Raków Częstochowa,GKP,1.8,NES,,,,,,,,,,,,
2843,Wiktor Żołneczko,Raków Częstochowa,GKP,0.7,NES,,,,,,,,,,,,
2125,Gleb Kuczko,Wisła Płock,MID,0.9,NES,,,,,,,,,,,,
2508,Mateusz Dziewiatowski,Zagłębie Lubin,MID,1.4,NES,,,,,,,,,,,,
2781,Žan Rogelj,Wisła Płock,DEF,1.8,EXP,,,,,,,,,,,,
2807,Kellyn Acosta,Pogoń Szczecin,MID,1.8,MAY,,,,,,,,,,,,
2391,Miki Villar,Wieczysta Kraków,MID,1.7,EXP,,,,,,,,,,,,
692,Zoran Arsenić,Legia Warszawa,DEF,1.8,NES,,,,,,,,,,,,
722,Karol Angielski,Pogoń Szczecin,FWD,1.8,MAY,,,,,,,,,,,,
681,Michał Nalepa,Zagłębie Lubin,DEF,1.7,EXP,,,,,,,,,,,,
563,Marcin Wasielewski,GKS Katowice,DEF,2,EXP,,,,,,,,,,,,
2815,Guilherme Montóia,Jagiellonia Białystok,DEF,1.8,EXP,,,,,,,,,,,,
2901,Tobias Christensen,Wieczysta Kraków,MID,1.8,EXP,,,,,,,,,,,,
2821,Attila Szalai,Pogoń Szczecin,DEF,1.9,EXP,,,,,,,,,,,,
1922,Dominik Piła,Cracovia,DEF,1.7,EXP,,,,,,,,,,,,
